이름,주소,카테고리,위도,경도,source
파운드짐 신대방역점,서울 관악구 신림동 518-1,헬스장,37.4867006852759,126.913352535192,keyword
에이블짐 대림역점,서울 영등포구 대림동 1050-40,헬스장,37.4932251892924,126.896907781938,keyword
일루고짐&PT 가산점,서울 금천구 가산동 150-1,헬스장,37.475982362768356,126.89359413624835,keyword
화이트펜슬스터디카페 구로디지털단지역점,서울 관악구 신림동 1653,스터디카페,37.4832655713237,126.904556703399,keyword
데일리스터디카페 독산점,서울 금천구 독산동 973-2,스터디카페,37.4762952924244,126.903357022699,keyword
페이지스터디카페,서울 금천구 독산동 901-14,스터디카페,37.4803582901907,126.9094841632,keyword
심다스터디카페,서울 금천구 독산동 901-15,스터디카페,37.4802969063553,126.909333867598,keyword
아로스터디카페,서울 관악구 신림동 529-11,스터디카페,37.4833534857443,126.914653250483,keyword
화이트펜슬 스터디카페 가산점,서울 금천구 가산동 152-30,스터디카페,37.4755505255633,126.892319513822,keyword
시작스터디카페 신대방점,서울 동작구 신대방동 692-17,스터디카페,37.4873060213106,126.910742170099,keyword
아이블스터디카페,서울 금천구 독산동 146-14,스터디카페,37.4754827267686,126.898165562011,keyword
아이블스터디카페 난곡점,서울 관악구 신림동 1476-12,스터디카페,37.4783513115667,126.914967585155,keyword
화이트펜슬 스터디카페 금천점,서울 금천구 가산동 772,스터디카페,37.4754445381733,126.893680818697,keyword
플랜에이스터디카페 신풍역썬프라자 센터,서울 영등포구 대림동 909-2,스터디카페,37.4963780325003,126.908093121405,keyword
썬스터디카페 독산점,서울 금천구 독산동 192-2,스터디카페,37.4697174670982,126.902804793671,keyword
아이블스터디카페 구로대림점,서울 구로구 구로동 144-10,스터디카페,37.4902034789734,126.892160531807,keyword
원스스터디카페 구로점,서울 구로구 구로동 313-119,스터디카페,37.489659070114534,126.89096046881492,keyword
열공다방 스터디카페 신림점,서울 관악구 신림동 487-6,스터디카페,37.4833109836323,126.920904631267,keyword
가산스터디카페 또바기비즈,서울 금천구 가산동 60-18,스터디카페,37.47956290423835,126.88579931082921,keyword
지니24스터디카페 난곡점,서울 관악구 신림동 706-48,스터디카페,37.4722381848928,126.919136928981,keyword
플랜트스터디카페 보라매라운지,서울 동작구 신대방동 498-9,스터디카페,37.496718446646,126.916358060419,keyword
초심 신림역점,서울 관악구 신림동 1425,스터디카페,37.4869744041224,126.929308651145,keyword
지공스터디카페 독산점,서울 금천구 독산동 331-4,스터디카페,37.46757270344804,126.89400396004999,keyword
숲에서 스터디카페,서울 영등포구 신길동 4672,스터디카페,37.4956388005007,126.908730684642,keyword
초심스터디카페 신림점,서울 관악구 신림동 1522-4,스터디카페,37.4698692981175,126.93498149357,keyword
힛더북스터디카페,서울 영등포구 신길동 4677,스터디카페,37.4957793565062,126.908729382758,keyword
멘토즈 신도림점,서울 구로구 신도림동 437-1,스터디카페,37.5063700137459,126.883398108083,keyword
스페이스액트,서울 관악구 신림동 1638-32,스터디카페,37.482695956817665,126.92854385033407,keyword
그루스터디카페 독산역센터,서울 금천구 독산동 1005,스터디카페,37.46460186267887,126.89080696817771,keyword
플랜트스터디카페 관악은천점,서울 관악구 봉천동 952-1,스터디카페,37.4866528548465,126.939224016758,keyword
플랜트스터디카페 금천은행나무라운지,서울 금천구 시흥동 259-5,스터디카페,37.4507704768559,126.911319032809,keyword
본스터디카페,서울 동작구 신대방동 713,스터디카페,37.4944969621374,126.914397446697,keyword
초심스터디카페 시흥힐스테이트점,서울 금천구 시흥동 985,스터디카페,37.44713598875884,126.90242604887266,keyword
랭스터디카페 신림점,서울 관악구 신림동 1428-23,스터디카페,37.4879013188816,126.92893803437,keyword
타임스터디카페 보라매점,서울 영등포구 신길동 4507,스터디카페,37.4973465430305,126.912752191378,keyword
초심스터디카페 광명소하점,경기 광명시 소하동 35-2,스터디카페,37.4514265940162,126.891057806491,keyword
더작심스터디카페 구로거리공원점,서울 구로구 구로동 108-4,스터디카페,37.49963075487727,126.89025273487894,keyword
초심 고척점,서울 구로구 고척동 76-38,스터디카페,37.4980719897565,126.864217946824,keyword
브릴리언트컴퍼니,서울 금천구 가산동 429-1,스터디카페,37.47789095652612,126.88065779647903,keyword
